NE,14212,APARTMENT,1,SANDY,BLVD,PORTLAND,OR,97230,7685270.81693,694161.17585
SW,1221,UNIT,1305,10TH,AVE,PORTLAND,OR,97205,7642184.0,681936.93701
 ,19759,UNIT,C,RIVER,RD,GLADSTONE,OR,97027,7661798.08038,630170.21358
SW,2207,APT,91,STURGES,LN,TROUTDALE,OR,97060,7712521.3399,685911.21293
SW,3280,#,1608,170TH,AVE,BEAVERTON,OR,97003,7600228.05906,675547.74409
SW,620,#,307,150TH,AVE,BEAVERTON,OR,97006,7604698.87336,682590.20669
NW,18855,RM,617,TANASBOURNE,DR,HILLSBORO,OR,97124,7594878.64567,692150.83005
SE,5200,APARTMENT,3,132ND,AVE,PORTLAND,OR,97236,7682203.6601,669445.92389
SW,1819,APARTMENT,6,18TH,AVE,PORTLAND,OR,97201,7639653.95112,681397.10203
SW,3515,APARTMENT,X1,BARBUR,BLVD,PORTLAND,OR,97239,7643286.92388,674649.66601
NW,772,#,104,118TH,AVE,BEAVERTON,OR,97229,7613780.44948,686399.81135
NW,1030,APARTMENT,208,12TH,AVE,PORTLAND,OR,97209,7642753.44915,687038.85794
SE,1118,APARTMENT,2,RHONE,ST,PORTLAND,OR,97202,7649784.86909,674291.98885
SW,13820,#,308,ELECTRIC,ST,BEAVERTON,OR,97005,7607236.61483,673938.44915
SW,7845,#,7,HALL,BLVD,BEAVERTON,OR,97008,7611476.39501,663257.87205
SW,15270,#,103,SPARROW,LOOP,BEAVERTON,OR,97007,7603143.12664,652260.69784
NE,1053,APT,D304,ORENCO STATION,PKWY,HILLSBORO,OR,97124,7582804.68471,689149.47736
NE,1645,APARTMENT,B4,162ND,AVE,PORTLAND,OR,97230,7690365.98294,687398.96194
SW,204,APARTMENT,505,8TH,AVE,PORTLAND,OR,97205,7643928.74902,684201.60105
 ,5000,UNIT,5,BROADWAY,ST,WEST LINN,OR,97068,7659624.22375,624823.6168
SW,1125,APARTMENT,102,12TH,AVE,PORTLAND,OR,97205,7641827.86909,682387.08596
NW,2211,SUITE,210,FRONT,AVE,PORTLAND,OR,97209,7640819.29298,690153.2769
NW,520,#,308,LOST SPRINGS,TER,BEAVERTON,OR,97229,7612861.64272,685040.62008
