FID,Type,Source,Verified,Name,Prefix,House_Numb,Unit_Type,Unit_Numbe,Street_Nam,Street_Typ,City,State,Zip,Stop_ID,X_Coord,Y_Coord,Lat,Lon
34,Residential Addresses,MAF Fixes, , ,SE,1909, , ,Tibbetts,St,Portland,OR,97202.000000000000000, ,7651896.966000000000000,676053.814999999940000,45.5009835437301,-122.646154964834
35,Residential Addresses,MAF Fixes, , ,SE,1911, , ,Tibbetts,St,Portland,OR,97202.000000000000000, ,7651896.966000000000000,676053.814999999940000,45.5009835437301,-122.646154964834
36,Residential Addresses,MAF Fixes, , ,SE,1913, , ,Tibbetts,St,Portland,OR,97202.000000000000000, ,7651896.966000000000000,676053.814999999940000,45.5009835437301,-122.646154964834
37,Residential Addresses,MAF Fixes, , ,SE,1915, , ,Tibbetts,St,Portland,OR,97202.000000000000000, ,7651896.966000000000000,676053.814999999940000,45.5009835437301,-122.646154964834
38,Residential Addresses,MAF Fixes, , ,SE,1917, , ,Tibbetts,St,Portland,OR,97202.000000000000000, ,7651896.966000000000000,676053.814999999940000,45.5009835437301,-122.646154964834
39,Residential Addresses,MAF Fixes, , ,E,422, , ,Burnside,St,Portland,OR,97214.000000000000000, ,7648255.500000000000000,684085.800000000050000,45.5227387000753,-122.661190234275
40,Residential Addresses,MAF Fixes, , ,NW,3480, , ,Industrial,St,Portland,OR,97210.000000000000000, ,7633838.000000000000000,691156.400000000020000,45.5410522925256,-122.718179094351
41,Residential Addresses,MAF Fixes, , ,NW,311, , ,12th,Ave,Portland,OR,97209.000000000000000, ,7642557.000000000000000,685170.000000000000000,45.525291036127,-122.683530251892
42,Residential Addresses,MAF Fixes, , ,SE,12133, , ,80th,Ave,Portland,OR,97222.000000000000000, ,7667979.000000000000000,651714.000000000000000,45.435402985102,-122.581007628032
43,Residential Addresses,MAF Fixes, , ,SE,3421, , ,Salmon,St,Portland,OR,97214.000000000000000, ,7656459.292999999600000,681054.601999999960000,45.5150253558058,-122.628881022984
44,Residential Addresses,MAF Fixes, , ,SW,14255, , ,6th,St,Beaverton,OR,97005.000000000000000, ,7606195.500000000000000,670667.500000000000000,45.4827491319834,-122.823722240687
45,Residential Addresses,MAF Fixes, , ,SE,16317, , ,82nd,Dr,Clackamas,OR,97015.000000000000000, ,7670483.000000000000000,640134.000000000000000,45.4038288350718,-122.570100198879
46,Residential Addresses,MAF Fixes, , ,SE,7368, , ,Division,St,Portland,OR,97206.000000000000000, ,7667089.000000000000000,677133.000000000000000,45.5050338832144,-122.587031428077
47,Residential Addresses,MAF Fixes, , ,NW,1130, , ,22nd,Ave,Portland,OR,97210.000000000000000, ,7639365.146999999900000,687362.157200000020000,45.5310639350065,-122.696212343529
48,Residential Addresses,MAF Fixes, , ,SE,4701, , ,24th,Ave,Portland,OR,97202.000000000000000, ,7652769.867999999800000,671444.270000000020000,45.4884089478334,-122.642275008255
49,Residential Addresses,MAF Fixes, , ,SW,2716, , ,Beaverton Hillsdale,Hwy,Portland,OR,97239.000000000000000, ,7636592.500000000000000,668886.199999999950000,45.4802018406501,-122.705060367597
50,Residential Addresses,MAF Fixes, , ,NW,1739, , ,Couch,St,Portland,OR,97209.000000000000000, ,7641224.500000000000000,684689.000000000000000,45.5238734159666,-122.68867675178
51,Residential Addresses,MAF Fixes, , ,SE,10955, , ,Jennifer,St,Clackamas,OR,97015.000000000000000, ,7676800.125000000000000,639974.593800000030000,45.4038330301255,-122.54549635858
52,Residential Addresses,MAF Fixes, , ,SE,2243, , ,Division,St,Portland,OR,97202.000000000000000, ,7652878.625000000000000,677494.093800000030000,45.5050038421346,-122.64247659014
53,Residential Addresses,MAF Fixes, , ,SE,1523, , ,162nd,Ave,Portland,OR,97233.000000000000000, ,7689999.000000000000000,679181.500000000000000,45.5122388322162,-122.497896277675
